date,open,high,low,close,vol(btc)
05/10/17 10:00 PM,1762.72,1774.53,1756.99,1772.58,555.04
05/10/17 08:00 PM,1768.01,1774.81,1745,1762.72,1228.61
05/10/17 06:00 PM,1767.31,1776.79,1762.41,1771.12,504.18
05/10/17 04:00 PM,1788.44,1789.54,1758.37,1767.14,1203.74
05/10/17 02:00 PM,1771.99,1794.21,1766.02,1788.44,1233.17
05/10/17 12:00 PM,1740.01,1775.85,1740.01,1771.99,1310.23
05/10/17 10:00 AM,1735.33,1748,1726.65,1740.01,1156.51
05/10/17 08:00 AM,1728.92,1749,1727.46,1732.28,983.83
05/10/17 06:00 AM,1719.69,1730.78,1715.1,1727.01,687.21
05/10/17 04:00 AM,1696.12,1722.76,1682,1720.64,910.39
05/10/17 02:00 AM,1720.7,1735.06,1696.11,1696.12,637.42
05/10/17 12:00 AM,1720.26,1731.36,1711.14,1722.76,855.06
05/09/17 10:00 PM,1701.51,1726.81,1697.48,1720.28,641.36
05/09/17 08:00 PM,1744.35,1745,1661.07,1701.61,2425.07
05/09/17 06:00 PM,1755.86,1759.63,1735,1744.35,1608.73
05/09/17 04:00 PM,1722.56,1759.7,1720.86,1755.02,1126.35
05/09/17 02:00 PM,1723.97,1741.94,1712,1722.53,1413.06
05/09/17 12:00 PM,1736.99,1760.4,1695.6,1723.97,2384.06
05/09/17 10:00 AM,1713.95,1737,1697.52,1735,1753.71
05/09/17 08:00 AM,1698.4,1731.26,1682.48,1714.28,1818.12
05/09/17 06:00 AM,1672.76,1701.56,1672.48,1698.39,1219.67
05/09/17 04:00 AM,1658.34,1677.73,1645.74,1673,992.33
05/09/17 02:00 AM,1651.61,1670,1650,1658.69,809.8
05/09/17 12:00 AM,1649.55,1651.15,1616.05,1648.15,615.48
05/08/17 10:00 PM,1616.01,1653.97,1616,1649.54,1578.44
05/08/17 08:00 PM,1604.01,1642.17,1592,1619.99,2324.93
05/08/17 06:00 PM,1586.55,1610,1582,1604.39,1670.77
05/08/17 04:00 PM,1573.94,1589.99,1562.11,1589.96,1125.58
05/08/17 02:00 PM,1578.54,1588,1560,1573.94,1559.24
05/08/17 12:00 PM,1576.59,1592.41,1560,1578.54,1699.96
05/08/17 10:00 AM,1602,1609.98,1560.09,1576.59,2718.26
05/08/17 08:00 AM,1590.99,1608,1589.76,1601.82,1904.92
05/08/17 06:00 AM,1579.38,1598.65,1565,1590.37,1731.7
05/08/17 04:00 AM,1569.06,1585,1560.05,1578.39,1140.55
05/08/17 02:00 AM,1575.02,1584.89,1560.14,1570.12,852.93
05/08/17 12:00 AM,1554.38,1589,1554.38,1578.55,955.07
05/07/17 10:00 PM,1535.98,1564.54,1533.93,1554.01,891.94
05/07/17 08:00 PM,1530.59,1539.05,1525.1,1535.98,783.02
05/07/17 06:00 PM,1535.38,1546.3,1525.99,1530.57,856.41
05/07/17 04:00 PM,1540.22,1541.7,1525.1,1535.17,618.34
05/07/17 02:00 PM,1526.01,1541.7,1525.02,1540.22,608.73
05/07/17 12:00 PM,1537.31,1541,1525.26,1526.01,663.82
05/07/17 10:00 AM,1542.01,1547.46,1531,1537.31,789.35
05/07/17 08:00 AM,1532.54,1551.47,1525,1543.99,868.87
05/07/17 06:00 AM,1556.05,1556.26,1531,1535.28,558.89
05/07/17 04:00 AM,1555.56,1560.41,1540,1556.05,441.08
05/07/17 02:00 AM,1559.31,1565,1551.55,1557.42,299.82
05/07/17 12:00 AM,1554.04,1564.31,1551,1557.19,287.51
05/06/17 10:00 PM,1556.2,1562,1552.59,1558.02,248.41
05/06/17 08:00 PM,1558,1570,1554.06,1560.98,314.05
05/06/17 06:00 PM,1551.96,1578.97,1545.25,1558.04,1293.35
05/06/17 04:00 PM,1521.14,1552,1520.53,1551.96,1060.16
05/06/17 02:00 PM,1549.33,1552,1505,1521.15,990.24
05/06/17 12:00 PM,1562.94,1562.94,1539.02,1549.33,520.39
05/06/17 10:00 AM,1535.99,1564.32,1525.06,1561.73,926.76
05/06/17 08:00 AM,1523.18,1538.16,1519.04,1536,970.56
05/06/17 06:00 AM,1514.01,1528.47,1510.5,1520,337.69
05/06/17 04:00 AM,1533.26,1536.33,1511.96,1514.01,265.69
05/06/17 02:00 AM,1544.01,1547,1517.02,1535.21,451.62
05/06/17 12:00 AM,1515.39,1546.69,1515.06,1544.72,522.23
05/05/17 10:00 PM,1534.6,1546.2,1495,1514.9,838
05/05/17 08:00 PM,1518.37,1537.46,1501,1534.6,981.16
05/05/17 06:00 PM,1554.97,1555,1511,1517.84,653.6
05/05/17 04:00 PM,1546.79,1555,1496.07,1551.5,2762.62
05/05/17 02:00 PM,1582.79,1584.86,1543,1545,1789.24
05/05/17 12:00 PM,1567.99,1585.52,1542.08,1582.77,2036.07
05/05/17 10:00 AM,1591.32,1591.32,1533.53,1567.99,1694.14
05/05/17 08:00 AM,1570,1608.04,1567.06,1591.34,1486.47
05/05/17 06:00 AM,1590.17,1609,1558.37,1569.01,1057.76
05/05/17 04:00 AM,1560.96,1593.9,1558.19,1591.99,813.85
05/05/17 02:00 AM,1558.24,1565.51,1541.33,1560.96,707.93
05/05/17 12:00 AM,1537.36,1565,1527.21,1564.89,782.85
05/04/17 10:00 PM,1525.9,1549.98,1494.92,1537.23,1398.95
05/04/17 08:00 PM,1539.65,1540.83,1444.94,1520.65,3668.81
05/04/17 06:00 PM,1599.45,1623.01,1495,1539.64,4415.22
05/04/17 04:00 PM,1586.56,1599.45,1565.01,1597.65,1435.18
05/04/17 02:00 PM,1564.73,1588.08,1562,1586.55,1432.13
05/04/17 12:00 PM,1550.2,1566.88,1543.93,1562.28,1216.9
05/04/17 10:00 AM,1556.14,1557,1540.13,1550.23,1496.17
05/04/17 08:00 AM,1528.09,1565,1528.09,1556.15,1572.01
05/04/17 06:00 AM,1516.38,1528.86,1513.43,1528.09,881.68
05/04/17 04:00 AM,1503.78,1520,1497.43,1516.38,760.38
05/04/17 02:00 AM,1517.24,1517.24,1499.73,1504.73,501.43
05/04/17 12:00 AM,1503.25,1518.87,1499.11,1515,769.68
05/03/17 10:00 PM,1496.81,1509.86,1490,1503.22,823.95
05/03/17 08:00 PM,1491.58,1516.04,1480.02,1492.14,1671.71
05/03/17 06:00 PM,1488,1498.88,1482,1491.54,1533.11
05/03/17 04:00 PM,1480,1488.09,1461.14,1488.09,1247.74
05/03/17 02:00 PM,1469.19,1484.85,1462.91,1480,599.83
05/03/17 12:00 PM,1477.95,1485.65,1462.85,1466.66,2107.74
05/03/17 10:00 AM,1468.78,1480,1461,1477.95,767.22
05/03/17 08:00 AM,1450.15,1475,1445,1470,597.04
05/03/17 06:00 AM,1444.81,1456,1431.02,1446.17,663.82
05/03/17 04:00 AM,1456.46,1458.64,1443.05,1444.86,191.56
05/03/17 02:00 AM,1462.32,1465.13,1450.28,1457.12,139.93
05/03/17 12:00 AM,1447.75,1469,1447.55,1463,733.93
05/02/17 10:00 PM,1435.02,1448.17,1435.01,1447.75,363.2
05/02/17 08:00 PM,1433.08,1438.01,1418.21,1435.02,624.05
05/02/17 06:00 PM,1452.5,1452.5,1403,1433.07,1761.04
05/02/17 04:00 PM,1448.16,1455,1442.99,1452.5,533.05
05/02/17 02:00 PM,1460.04,1463.99,1440.01,1450.86,924.5
05/02/17 12:00 PM,1465.21,1473.53,1439.98,1460.04,995.52
05/02/17 10:00 AM,1435.03,1481.73,1430,1465.21,1951.82
05/02/17 08:00 AM,1419.1,1437,1419,1436.1,497.29
05/02/17 06:00 AM,1423.01,1423.99,1418.42,1419.1,379.98
05/02/17 04:00 AM,1413.34,1424.69,1413.34,1423.21,317.12
05/02/17 02:00 AM,1416.78,1416.86,1410,1414.04,111.59
05/02/17 12:00 AM,1390.86,1416.97,1388,1412.39,461.55
